Locations,Category Level 2,Category Level 3,Category Level 4,Category Level 5,Brand House,Brand,Product,Pack Size,Month,Total Retail Sales,Total Units,Original List Price,Discount List Price,Pack ARP,EQ ARP,Cost
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Seed & Strain Cannabis Company,"Seed & Strain Cannabis Company - Sweet Strawberry - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,28.83045326,1.209136984,40,,23.84382716,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,The Cannabist,Seed & Strain Cannabis Company,"Seed & Strain Cannabis Company - Wild Cherry - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,312.1508473,7.254821903,60,48,43.02667267,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Verano,(the) Essence,"(the) Essence - Blueberry - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,105.1829351,2.418273968,60,48,43.49504502,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Verano,(the) Essence,"(the) Essence - Blueberry - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,56.65917665,2.418273968,35,28,23.42959375,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Verano,(the) Essence,"(the) Essence - Granddaddy Purple - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,952.6696275,22.97360269,60,48,41.4680118,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Verano,(the) Essence,"(the) Essence - Northern Lights - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,583.8919638,13.30050682,60,48,43.89997853,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Verano,(the) Essence,"(the) Essence - Pineapple Express - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,104.6363879,3.627410952,40,,28.84602525,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Verano,(the) Essence,"(the) Essence - Super Sourface - Distillate Cartridge, 500mg, 1 Count",500mg,4/1/2026,303.1713952,13.30050682,35,28,22.79397314,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Verano,Savvy,"Savvy - Happy Hour - Blue Raz Haze - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,487.7697403,12.09136984,57,44,40.34032097,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Verano,Savvy,"Savvy - Kick Back - Grape Kush - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,448.9853362,12.09136984,56,44,37.13271053,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Verano,Savvy,"Savvy - Maui Waui - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,688.4223997,16.92791777,57.85714286,47,40.66787239,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Verano,Savvy,"Savvy - Rainbow Landrace - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,575.0260555,15.71878079,55.76923077,46,36.58210285,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Distillate Cartridge,,Verano,Savvy,"Savvy - Vacay - Banana Sherbz - Distillate Cartridge, 1000mg, 1 Count",1000mg,4/1/2026,49.72331956,1.209136984,60,48,41.12298294,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Kit,,Verano,(the) Essence,"(the) Essence - Kit - Hyphen - Permanent Marker - Kit, 1000mg, 1 Count",1000mg,4/1/2026,43.46331111,1.209136984,65,,35.94572963,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Kit,,Verano,(the) Essence,"(the) Essence - Kit - Hyphen - Strawberry Cough - Kit, 1000mg, 1 Count",1000mg,4/1/2026,303.5794899,7.254821903,65,52,41.84520226,,
Barboursville Cannabis Company (Barboursville),Vape,Vape Cartridge,Kit,,Verano,Savvy,"Savvy - Hyphen - Apple Fritter - Kit, 2000mg, 1 Count",2000mg,4/1/2026,422.376506,7.254821903,90,72,58.2201068,,
